Organization Name,address1,address2,city,State,zip,ServiceSummary
Turning Point,,,,IN,,Transitional Housing
"Kosciusko County Shelter for Abuse, Inc.",,,,IN,,Rapid Re-Housing
The Julian Center,,,,IN,46202,Rapid Re-Housing
Coburn Place,,,,IN,,Transitional Housing
Coburn Place,,,,IN,,Rapid Re-Housing
Coburn Place,,,,IN,,Rapid Re-Housing
Coburn Place,,,,IN,46205,Rapid Re-Housing
Gary Commission for Women,,,,IN,,Emergency Shelter
"The Caring Place, Inc.",,,,IN,,Emergency Shelter
North Central Indiana Rural Crisis Center,,,,IN,,Emergency Shelter
"PACT, Inc. dba Hoosier Hills PACT",,,,IN,,Emergency Shelter
"PACT, Inc. dba Hoosier Hills PACT",,,,IN,,Transitional Housing
HVAF of Indiana,,,,IN,46204,Rapid Re-Housing
HVAF of Indiana,,,,IN,46204,Permanent Supportive Housing
"A Better Way Services, Inc.",,,,IN,,Rapid Re-Housing
Homeless Initiative Program,,,,IN,46222,Rapid Re-Housing
YWCA Northeast Indiana,,,,IN,,Emergency Shelter
Sheltering Wings,,,,IN,,Emergency Shelter
"Safe Passage, Inc.",,,,IN,,Emergency Shelter
"Middle Way House, Inc.",,,,IN,,Emergency Shelter
Midtown CMHC,,,,IN,46201,Permanent Supportive Housing
Midtown CMHC,,,,IN,46201,Permanent Supportive Housing
"Alternatives, Inc.",,,,IN,,Transitional Housing
YWCA of Richmond,,,,IN,,Emergency Shelter
Jennings County Council for Domestic Violence,,,,IN,,Emergency Shelter
The Damien Center,,,,IN,46201,Rapid Re-Housing
Turning Point,,,,IN,,Emergency Shelter
Family Service Society,,,,IN,,Emergency Shelter
Desert Rose Foundation,,,,IN,,Emergency Shelter
Council on Domestic Abuse Inc. (CODA),,,,IN,,Emergency Shelter
"Alternatives, Inc.",,,,IN,,Emergency Shelter
Albion Fellows Bacon Center,,,,IN,,Emergency Shelter
"A Better Way Services, Inc.",,,,IN,,Emergency Shelter
"Family Crisis Shelter, Inc.",,,,IN,,Emergency Shelter
Hope Springs,,,,IN,47918,Emergency Shelter
YWCA North Central Indiana,,,,IN,46601,Transitional Housing
YWCA North Central Indiana,,,,IN,46601,Transitional Housing
YWCA North Central Indiana,,,,IN,46601,Transitional Housing
YWCA North Central Indiana,,,,IN,46601,Emergency Shelter
St. Jude House,,,,IN,,Emergency Shelter
Haven House Hammond,,,,IN,,Emergency Shelter
"Kosciusko County Shelter for Abuse, Inc.",,,,IN,,Emergency Shelter
Indiana Housing Authority,,,,IN,46202,Permanent Supportive Housing
YWCA North Central Indiana,,,,IN,46516,Emergency Shelter
HVAF of Indiana,,,,IN,46204,Other Permanent Housing
HVAF of Indiana,,,,IN,46204,Rapid Re-Housing
Richard L. Roudebush VA Medical Center,,,,IN,46202,Permanent Supportive Housing
HVAF of Indiana,,,,IN,46204,Permanent Supportive Housing
Midtown CMHC,,,,IN,46202,Permanent Supportive Housing
Adult & Child Center,,,,IN,46237,Permanent Supportive Housing
YWCA Center for Safety and Empowerment,,,,KS,66612,Emergency Shelter
The Salvation Army,,,,KS,67202,Rapid Re-Housing
Lawrence-Douglas County Housing Authority,,,,KS,66046,Transitional Housing
Domestic Violence Association of Central Kansas,,,,KS,,Rapid Re-Housing
SOS Inc.,,,,KS,,Emergency Shelter
Safehope,,,,KS,,Emergency Shelter
Sexual Assault/Domestic Violence Center Inc.,,,,KS,,Emergency Shelter
Northwest Kansas Domestic and Sexual Violence Services Inc.,,,,KS,,Emergency Shelter
Crisis Center Inc.,,,,KS,,Emergency Shelter
Central Kansas Dream Center,,,,KS,,Emergency Shelter
The Willow Domestic Violence Center,,,,KS,,Emergency Shelter
Liberal Area Rape Crisis and Domestic Violence Services Inc.,,,,KS,,Emergency Shelter
Domestic Violence Emergency Services (DoVES) Inc.,,,,KS,,Emergency Shelter
Domestic Violence Association of Central Kansas,,,,KS,,Emergency Shelter
Hope Unlimited Inc.,,,,KS,,Emergency Shelter
Safehouse Crisis Center,,,,KS,,Emergency Shelter
Family Life Center of Butler County,,,,KS,,Emergency Shelter
Family Crisis Center Inc.,,,,KS,,Emergency Shelter
Family Crisis Services Inc.,,,,KS,,Emergency Shelter
Crisis Center of Dodge City,,,,KS,,Emergency Shelter
Open Door Community House Inc.,136 W. 3rd St,Junction City,,KS,66441,Rapid Re-Housing
Wichita Family Crisis Center,,,,KS,67214,Emergency Shelter
Catholic Charities Inc.,,,,KS,67203,Emergency Shelter
SAFEHOME Inc.,,,,KS,,Emergency Shelter
The Salvation Army,,,,KS,66061,Rapid Re-Housing
The Salvation Army,,,,KS,66061,Emergency Shelter
Johnson County Mental Health,,,,KS,66203,Permanent Supportive Housing
Johnson County Mental Health,,,,KS,66203,Permanent Supportive Housing
Catholic Charities,,,,KS,66215,Rapid Re-Housing
Catholic Charities,,,,KS,66212,Rapid Re-Housing
SAFEHOME Inc.,,,,KS,,Rapid Re-Housing
KCADV,,,,KY,40601,Rapid Re-Housing
KCADV,,,,KY,40601,Rapid Re-Housing
Arbor Youth Services,,,,KY,40508,Rapid Re-Housing
Room in the Inn Richmond,,,,KY,40475,Emergency Shelter
"Welcome House of Northern Kentucky, Inc.",,,,KY,41011,Emergency Shelter
Community Action Council(567),,,,KY,40361,Permanent Supportive Housing
Homeless and Housing Coalition of Kentucky,,,,KY,40601,Permanent Supportive Housing
"Cumberland Valley Domestic Violence Services, Inc",,,,KY,40741,Rapid Re-Housing
Clark County Homeless Coalition,,,,KY,40391,Rapid Re-Housing
Centerstone,,,,KY,42001,Rapid Re-Housing
"Community Assistance Referral Services, Inc. (CAReS)",,,,KY,41101,Rapid Re-Housing
"OASIS, Inc.(1795)",,,,KY,42302,Rapid Re-Housing
"Safe Harbor of Northeast KY, Inc(471)",,,,KY,41102,Rapid Re-Housing
Doves of Gateway(399),,,,KY,40351,Rapid Re-Housing
Merryman House(818),,,,KY,42003,Rapid Re-Housing
"Bethany House Abuse Shelter, Inc(441)",,,,KY,42502,Rapid Re-Housing
Barren River Area Safe Space (BRASS)(384),,,,KY,42102,Rapid Re-Housing
"Spring Haven, Inc.",,,,KY,42701,Rapid Re-Housing
"Sanctuary, Inc.",,,,KY,42241,Rapid Re-Housing
Barren River Area Safe Space (BRASS)(384),,,,KY,42101,Rapid Re-Housing
Barren River Area Safe Space (BRASS)(384),,,,KY,42102,Permanent Supportive Housing
Mountain Comprehensive Care Center,,,,KY,40505,Rapid Re-Housing
Mountain Comprehensive Care Center,,,,KY,40505,Permanent Supportive Housing
Volunteers of America Mid-States,,,,KY,40502,Rapid Re-Housing
Lexington Housing Authority,,,,KY,40505,Permanent Supportive Housing
"Sanctuary, Inc.",,,,KY,42240,Permanent Supportive Housing
"Safe Harbor of Northeast KY, Inc(471)",,,,KY,41102,Permanent Supportive Housing
Merryman House(818),,,,KY,42003,Permanent Supportive Housing
Community Action Council,,,,KY,40508,Rapid Re-Housing
Community Action Council,,,,KY,40508,Rapid Re-Housing
Community Action Council,,,,KY,40508,Rapid Re-Housing
Bluegrass.org,,,,KY,40511,Permanent Supportive Housing
Adult and Tenant Services,,,,KY,40508,Rapid Re-Housing
Barren River Area Safe Space (BRASS)(384),,,,KY,42101,Transitional Housing
"Safe Harbor of Northeast KY, Inc(471)",,,,KY,41102,Transitional Housing
"Sanctuary, Inc.",,,,KY,42240,Emergency Shelter
Turning Point,,,,KY,41649,Emergency Shelter
Women's Crisis Center(12),,,,KY,41048,Emergency Shelter
"Safe Harbor of Northeast KY, Inc(471)",,,,KY,41102,Emergency Shelter
"Cumberland Valley Domestic Violence Services, Inc",,,,KY,40741,Emergency Shelter
"OASIS, Inc.(1795)",,,,KY,42303,Emergency Shelter
"Hope's Wings, Inc.",,,,KY,40475,Emergency Shelter
Merryman House(818),,,,KY,42003,Emergency Shelter
"Spring Haven, Inc.",,,,KY,42701,Emergency Shelter
Women's Crisis Center(12),,,,KY,41048,Emergency Shelter
"LKLP CAC, Inc(521)",,,,KY,41701,Emergency Shelter
Doves of Gateway(399),,,,KY,40351,Emergency Shelter
"Bethany House Abuse Shelter, Inc(441)",,,,KY,42502,Emergency Shelter
Barren River Area Safe Space (BRASS)(384),,,,KY,42102,Emergency Shelter
Kristy Love Foundation,,,,KY,,Emergency Shelter
Community Action Council,,,,KY,40508,Rapid Re-Housing
Greenhouse17,,,,KY,,Emergency Shelter
Center for Women and Families,,,,KY,,Emergency Shelter
Start Corp.,,,,LA,70125,Permanent Supportive Housing
Alexandria Housing Authority,,,,LA,71303,Permanent Supportive Housing
Faith House,,,,LA,,Emergency Shelter
New Orleans Family Justice Center,,,,LA,,Permanent Supportive Housing
Covenant House,,,,LA,70112,Rapid Re-Housing
The Wellspring,,,,LA,71202,Rapid Re-Housing
The Wellspring,,,,LA,71202,Transitional Housing
Covenant House,,,,LA,70112,Rapid Re-Housing
Resources for Human Development,,,,LA,70058,Permanent Supportive Housing
City of New Orleans,,,,LA,70119,Permanent Supportive Housing
Jefferson Parish Human Service Authority,,,,LA,70058,Permanent Supportive Housing
Crescent Care -NO AIDS Task Force,,,,LA,70113,Permanent Supportive Housing
Catholic Charities Archdiocese of New Orleans,,,,LA,70113,Rapid Re-Housing
Start Corp.,,,,LA,70002,Permanent Supportive Housing
Crescent Care -NO AIDS Task Force,,,,LA,70113,Permanent Supportive Housing
New Orleans Family Justice Center,,,,LA,,Rapid Re-Housing
Chez Hope,,,,LA,70538,Emergency Shelter
Faith House,,,,LA,70501,Emergency Shelter
Faith House,,,,LA,70501,Permanent Supportive Housing
Faith House,,,,LA,70501,Rapid Re-Housing
Faith House,,,,LA,70501,Transitional Housing
New Orleans Family Justice Center,,,,LA,,Transitional Housing
Metropolitan Center for Women and Children,,,,LA,,Transitional Housing
Covenant House,,,,LA,70112,Rapid Re-Housing
Traveler's Aid Society of Greater New Orleans,,,,LA,70115,Permanent Supportive Housing
The Wellspring,,,,LA,71202,Rapid Re-Housing
New Orleans Family Justice Center,,,,LA,,Rapid Re-Housing
START Corporation,,,,LA,70360,Permanent Supportive Housing
New Orleans Family Justice Center,,,,LA,,Emergency Shelter
Metropolitan Center for Women and Children,,,,LA,,Emergency Shelter
SAFE,,,,LA,,Emergency Shelter
SAFE,,,,LA,,Rapid Re-Housing
Safe Harbor,,,,LA,,Emergency Shelter
The Haven,,,,LA,,Emergency Shelter
START Corporation,,,,LA,70360,Emergency Shelter
Empower 225,,,,LA,70809,Rapid Re-Housing
Ozanam Inn/St. Vincent de Paul Society,,,,LA,70119,Permanent Supportive Housing
Volunteers of America,,,,LA,70119,Rapid Re-Housing
Start Corp.,,,,LA,70117,Rapid Re-Housing
Start Corp.,,,,LA,70125,Rapid Re-Housing
Start Corp.,,,,LA,70115,Permanent Supportive Housing
Start Corp.,,,,LA,70119,Permanent Supportive Housing
Salvation Army,,,,LA,70119,Rapid Re-Housing
Responsibility House,,,,LA,70056,Permanent Supportive Housing
New Orleans Women and Children's Shelter,,,,LA,70115,Rapid Re-Housing
National Alliance for Mentally Ill,,,,LA,70113,Permanent Supportive Housing
Goodwill Industries,,,,LA,70119,Permanent Supportive Housing
Goodwill Industries,,,,LA,70119,Rapid Re-Housing
DePaul USA/ Harry Tompson Center,,,,LA,70119,Permanent Supportive Housing
City of New Orleans,,,,LA,70125,Permanent Supportive Housing
Catholic Charities Archdiocese of New Orleans,,,,LA,70113,Permanent Supportive Housing
Iris Domestic Violence Center,,,,LA,70892,Emergency Shelter
Terrebonne Parish Consolidated Government,,,,LA,70360,Rapid Re-Housing
Jeff Davis CADA (Communities Against Domestic Violence),,,,LA,,Emergency Shelter
DART,,,,LA,,Emergency Shelter
Oasis - Residential Services,,,,LA,,Emergency Shelter
Christopher Youth Center (formerly Our House),,,,LA,71203,Rapid Re-Housing
Saint Bernard Battered Women's Program,,,,LA,,Emergency Shelter
June Jenkins Women's Shelter,,,,LA,,Emergency Shelter
START Corporation,,,,LA,70802,Permanent Supportive Housing
Project Celebration,,,,LA,,Emergency Shelter
DART,,,,LA,,Rapid Re-Housing
Volunteers of America - Central Louisiana,3704 coliseum blvd,,,LA,71303,Rapid Re-Housing
MA Dept. of Housing & Comm. Develop.,Scattered Sites,,,MA,1960,Rapid Re-Housing
Emmaus Inc.,,,,MA,1801,Other Permanent Housing
Emmaus Inc.,,,,MA,1801,Rapid Re-Housing
Emmaus Inc.,,,,MA,1801,Rapid Re-Housing
Providence VA Medical Center,,,,MA,2780,Permanent Supportive Housing
Catholic Social Services,,,,MA,2780,Permanent Supportive Housing
Essex Street Management Co.,,,,MA,2139,Other Permanent Housing
MA Department of Housing & Community Development,,,,MA,2139,Rapid Re-Housing
Vinfen,,,,MA,1843,Permanent Supportive Housing
The Second Step,,,,MA,2460,Transitional Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
DOVE,,,,MA,,Emergency Shelter
Health Imperatives Inc.,,,,MA,,Emergency Shelter
Alternative House,,,,MA,,Emergency Shelter
Alternative House,,,,MA,,Transitional Housing
Alternative House,,,,MA,,Permanent Supportive Housing
RESPOND,,,,MA,,Emergency Shelter
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
HarborCOV,,,,MA,,Permanent Supportive Housing
"HAWC (Healing Abuse, Working for Change)",,,,MA,,Emergency Shelter
Action Inc.,,,,MA,1930,Permanent Supportive Housing
North Shore Community Action Program,,,,MA,1960,Transitional Housing
Veterans Northeast Outreach Center,Multiple addresses,,,MA,1830,Permanent Supportive Housing
MA Dept. of Housing & Comm. Develop.,,,,MA,1830,Permanent Supportive Housing
Emmaus Inc.,,,,MA,1830,Rapid Re-Housing
Emmaus Inc.,,,,MA,1830,Rapid Re-Housing
Dial-Self,,,,MA,1364,Rapid Re-Housing
Bridge Over Troubled Waters,,,,MA,2111,Rapid Re-Housing
Boston HMIS Administration,,,,MA,2108,Rapid Re-Housing
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
Transition House,,,,MA,,Rapid Re-Housing
Family and Community Resourses Inc,,,,MA,,Rapid Re-Housing
Just-A-Start Corporation,,,,MA,2150,Rapid Re-Housing
HomeStart,,,,MA,2150,Permanent Supportive Housing
HomeStart,,,,MA,2148,Permanent Supportive Housing
Cambridge Housing Authority,,,,MA,2148,Permanent Supportive Housing
Cambridge Housing Authority,,,,MA,2145,Permanent Supportive Housing
Cambridge Department of Human Service Programs,,,,MA,2118,Rapid Re-Housing
Transition House,,,,MA,,Permanent Supportive Housing
Transition House,,,,MA,,Other Permanent Housing
AIDS Action Committee,,,,MA,2119,Rapid Re-Housing
Cambridge Housing Authority,,,,MA,2128,Permanent Supportive Housing
"Heading Home, Inc.",,,,MA,2148,Permanent Supportive Housing
"Heading Home, Inc.",,,,MA,2149,Permanent Supportive Housing
"Heading Home, Inc.",,,,MA,2124,Other Permanent Housing
"Heading Home, Inc.",,,,MA,2124,Transitional Housing
"Heading Home, Inc.",,,,MA,2119,Transitional Housing
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
Boston Housing Authority,,,,MA,2111,Other Permanent Housing
Boston Housing Authority,,,,MA,2111,Other Permanent Housing
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
Boston Housing Authority,,,,MA,2111,Permanent Supportive Housing
Boston Housing Authority,chauncy street,,,MA,2111,Permanent Supportive Housing
Boston Housing Authority,,,,MA,2111,Other Permanent Housing
Boston Housing Authority,,,,MA,2111,Other Permanent Housing
Boston Housing Authority,,,,MA,2108,Permanent Supportive Housing
Boston Housing Authority,,,,MA,2108,Other Permanent Housing
Boston Housing Authority,,,,MA,2108,Other Permanent Housing
Boston Housing Authority,,,,MA,2108,Other Permanent Housing
Boston Housing Authority,,,,MA,2108,Other Permanent Housing
Boston HMIS Administration,,,,MA,2108,Transitional Housing
Boston HMIS Administration,,,,MA,2108,Transitional Housing
Victory Programs,,,,MA,2118,Rapid Re-Housing
Boston HMIS Administration,,,,MA,2108,Permanent Supportive Housing
Boston HMIS Administration,,,,MA,2108,Permanent Supportive Housing
EMPath - Economic Mobility Pathways,,,,MA,2108,Transitional Housing
Transition House,,,,MA,,Transitional Housing
Transition House,,,,MA,,Emergency Shelter
Hildebrand Family Self Help Center,,,,MA,2139,Emergency Shelter
Southeastern Mass. Veterans Housing Program Inc.,,,,MA,2740,Short Term Housing
Boston HMIS Administration,,,,MA,2130,Other Permanent Housing
Boston Public Health Commission,,,,MA,2118,Permanent Supportive Housing
Heading Home PSH,529 Main Street,100,,MA,2129,Permanent Supportive Housing
HomeStart,,,,MA,2111,Permanent Supportive Housing
HomeStart,,,,MA,2111,Permanent Supportive Housing
HomeStart,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
Metro Housing Boston,,,,MA,2111,Permanent Supportive Housing
New England Center for Homeless Vets,,,,MA,2111,Permanent Supportive Housing
Pine Street Inn,,,,MA,2111,Permanent Supportive Housing
Pine Street Inn,,,,MA,2118,Other Permanent Housing
Metro Housing Boston,,,,MA,2120,Permanent Supportive Housing
Justice Resource Institute,,,,MA,2119,Rapid Re-Housing
Mental Health Association,755 WORTHINGTON ST,,,MA,1105,Permanent Supportive Housing
Mental Health Association,,,,MA,1109,Permanent Supportive Housing
Mental Health Association,,,,MA,1109,Permanent Supportive Housing
RESPOND,,,,MA,2143,Rapid Re-Housing
Newton Housing Authority,,,,MA,,Other Permanent Housing
Heading Home Inc.,,,,MA,2155,Permanent Supportive Housing
CAN-DO,,,,MA,,Transitional Housing
Department of Housing & Community Development,,,,MA,1840,Rapid Re-Housing
Somerville Homeless Coalition Inc.,,,,MA,2144,Rapid Re-Housing
YWCA of Western Massachusetts,,,,MA,,Transitional Housing
Family Aid Boston,,,,MA,2111,Rapid Re-Housing
South Middlesex Opportunity Council Inc.,,,,MA,1702,Permanent Supportive Housing
Old Colony Y,,,,MA,2301,Permanent Supportive Housing
The Second Step,,,,MA,2460,Rapid Re-Housing
New England Center for Homeless Vets,,,,MA,2108,Rapid Re-Housing
